Title,FootCategory,Description,Ingredients,Variations,Instructions,ImageUrl,PrepTimeMinutes,CookTimeMinutes,Tags
Risotto,Main,"Rich, creamy, and deeply comforting, with tender rice slowly cooked until soft and full of savoury flavour. The shallots, garlic, thyme, and mushrooms create a warm and earthy base, while the gradual addition of stock gives the dish its smooth, velvety texture. Finished with a splash of milk for extra creaminess and adaptable with vegetables such as courgette, butternut squash, or spinach, it is a satisfying main that feels both hearty and elegant.",2 Shallots / 1 Onion; Milk; 2/3 Garlic Cloves; Thyme; Rice; Vegetable Stock; Chestnut Mushrooms,Courgette; Butternut Squash; Spinach,"Cook of the Shallots / Onions in a pan. Prepare boiling water and Vegetable Stock In a measuring jug. Add the Garlic to the pan, add the Mushrooms and add the Thyme. Once the Mushrooms are cooked off, add the Rice. Cook over a medium heat, adding the Vegetable Stock bit by bit until the Rice absorbs. Add the variations and add Milk to make creamy as required. Butternut squash will need longer cooking so add that early.",,,,
Chilli Con Carne,Main,"A hearty, warming dish packed with rich tomato flavour, tender beans, and gently spiced peppers, onions, and garlic. The roasted peppers add a deep sweetness, while the spice mix brings warmth and depth to the savoury mince or soya base. Served with rice and filled with colourful vegetables, it is a comforting and satisfying main that is full of bold, homely flavour.",2/3 Red Peppers; Kidney Beans; 1 Onion; Rice; 2 Garlic Cloves; Mince Meat / Soya Meat; Spice Mix; Extra Virgin Olive Oil; Sweetcorn; Chopped Tomatoes; Green Beans,Butternut Squash alternative,"Cut the Peppers in half and take out the core and roast them in the oven. Once ready blend them in the blender. Caramelise the Onion and add Garlic, add Mince Meat / Soya Meat (separate pan). Fry until cooked. Add the blended Pepper sauce to one pan and add Chopped Tomatoes to the other. Add Mixed Spice to each pan. Add Vegetables to each pan. Cook the Rice separately in a pan. Simmer and serve. If doing the alternative with Butternut Squash, peel and roughly chop then bake until soft and then blend.",,,,
Pancakes (Keto),Dessert,"Soft, fluffy, and gently sweet, offering a satisfying low-carb alternative to a classic favourite. Made with almond flour and vanilla, they have a light, tender texture with a delicate nuttiness that pairs beautifully with your favourite toppings. Served warm and golden from the pan, they make a comforting breakfast or dessert that feels both wholesome and indulgent.",4 Large Eggs; ¾ cup unsweetened Almond Milk; ½ cup oil or butter; 2 ½ cups of almond flour; 2 tsp. vanilla extract; 2 tsp. baking powder; ¼ tsp. salt; ¼ cup Sweetener,,"Blend the eggs, almond milk, oil, and vanilla extract until smooth and well combined. Add the almond flour, sweetener, baking powder, and salt, then blend again until the batter is smooth. Leave the batter to rest for 5 minutes so that it thickens slightly. Meanwhile, heat a lightly oiled pan over a medium heat. Spoon small portions of batter into the pan, using around 3 tablespoons for each pancake. Cook until bubbles begin to appear on the surface and the edges look set, then carefully turn with a thin spatula. Cook until golden brown on both sides, then remove from the pan. For the best texture, place the cooked pancakes on a wire rack while you finish the rest of the batch.",,5,,Keto
Omelette,Breakfast,"Light, fluffy, and endlessly adaptable, this omelette folds softly cooked eggs around a warm, savoury filling. The gentle heat keeps the eggs tender while the cheese melts into every fold, making it a quick and satisfying way to start the day. Simple, protein-rich, and easy to dress up with vegetables or herbs, it is a reliable low-carb breakfast staple.",3 Large Eggs; Pinch of Salt; Black Pepper; 1 tbsp. Butter or Olive Oil; 30g Grated Cheddar Cheese; Handful of Chopped Spinach or Mushrooms (optional),Chopped Ham; Peppers; Onion; Chives,"Crack the Eggs into a bowl, season with Salt and Pepper, and whisk until smooth. Heat the Butter or Oil in a non-stick pan over a medium heat. Pour in the Eggs and swirl to cover the base of the pan. As the edges begin to set, gently push them towards the centre with a spatula, tilting the pan so the uncooked egg runs to the edges. Scatter the Cheese and any Vegetables over one half once the top is nearly set. Fold the omelette in half and cook for a further minute until the cheese melts. Slide onto a plate and serve immediately.",,5,5,Low Carb
Scrambled Eggs with Avocado,Breakfast,"Creamy scrambled eggs paired with cool, buttery avocado for a breakfast that is both comforting and nourishing. The eggs are cooked low and slow for a soft, silky texture, while the avocado adds a rich contrast that keeps the dish satisfying without any need for toast. A simple, steady way to start the day without spiking blood sugar.",3 Large Eggs; 1 tbsp. Butter; Pinch of Salt; Black Pepper; 1 Ripe Avocado; Squeeze of Lemon Juice; Chilli Flakes (optional),Smoked Salmon; Cherry Tomatoes; Fresh Chives,"Crack the Eggs into a bowl with a pinch of Salt and whisk lightly. Melt the Butter in a non-stick pan over a low heat. Pour in the Eggs and stir gently and continuously with a spatula, keeping the heat low so the eggs cook slowly into soft, creamy curds. Remove from the heat just before fully set, as they will continue cooking in the residual warmth. While the eggs cook, halve the Avocado, remove the stone, and slice or mash the flesh, then squeeze over a little Lemon Juice to stop it browning. Serve the Eggs alongside or over the Avocado, finished with Black Pepper and Chilli Flakes if using.",,5,5,Low Carb
Chicken Caesar Salad,Lunch,"A crisp, refreshing salad built around tender chicken and crunchy lettuce, tossed in a rich, garlicky dressing. The Parmesan adds a salty depth while the dressing coats every leaf, making it a filling and satisfying lunch without any need for croutons or bread. Cool, crisp, and full of flavour, it is an easy low-carb option any day of the week.","2 Chicken Breasts; 1 tbsp. Olive Oil; Salt; Black Pepper; 1 Large Romaine Lettuce, chopped; 40g Parmesan, shaved; 4 tbsp. Mayonnaise; 1 Garlic Clove, crushed; 1 tsp. Dijon Mustard; 1 tsp. Lemon Juice; 1 tsp. Worcestershire Sauce; 1 Anchovy Fillet, finely chopped (optional)",Bacon Lardons; Cherry Tomatoes; Avocado,"Season the Chicken Breasts with Salt and Pepper and rub with a little Olive Oil. Heat a pan over a medium-high heat and cook the Chicken for 6-7 minutes on each side until golden and cooked through. Set aside to rest for a few minutes before slicing. Meanwhile, make the dressing by whisking together the Mayonnaise, crushed Garlic, Dijon Mustard, Lemon Juice, Worcestershire Sauce and Anchovy if using, until smooth. Toss the chopped Lettuce with the dressing until well coated. Top with the sliced Chicken and shaved Parmesan, then finish with a crack of Black Pepper.",,10,15,Low Carb
Ham Cheese Salad Plate,Lunch,"A simple, no-cook plate of sliced ham, cheese, and crisp fresh vegetables, perfect for a quick and satisfying lunch. The saltiness of the ham and cheese pairs well with the crunch of fresh salad, making it an easy, balanced option that needs no cooking at all. Light, refreshing, and endlessly customisable, it is an ideal grab-and-go low-carb lunch.","120g Sliced Ham; 100g Sliced Cheese (Cheddar or Swiss); Mixed Salad Leaves; ½ Cucumber, sliced; 1 Tomato, sliced; ¼ Red Onion, thinly sliced; 1 tbsp. Olive Oil; Splash of Vinegar; Salt; Black Pepper",Olives; Boiled Egg; Pickles,"Arrange the Salad Leaves over a plate as a base. Lay the sliced Ham and Cheese over the top, either folded or rolled for presentation. Scatter over the sliced Cucumber, Tomato, and Red Onion. Drizzle with Olive Oil and a splash of Vinegar, then season with Salt and Black Pepper. Serve chilled straight away.",,10,,Low Carb
Chicken Lettuce Wraps,Lunch,"Juicy, well-seasoned chicken mince wrapped in crisp, cool lettuce leaves for a light and hands-on lunch. The savoury filling is packed with flavour from garlic, ginger, and soy, while the lettuce keeps everything fresh and crunchy in place of a heavier wrap or bun. A fun, satisfying way to enjoy a low-carb meal.","500g Chicken Mince; 1 tbsp. Olive Oil; 1 Garlic Clove, crushed; 1 tsp. Grated Ginger; 3 tbsp. Soy Sauce; 1 tbsp. Rice Vinegar; ½ Red Pepper, finely diced; 4 Spring Onions, sliced; 1 Large Lettuce (Iceberg or Little Gem), leaves separated",Water Chestnuts; Chilli; Sesame Seeds,"Heat the Olive Oil in a large pan or wok over a medium-high heat. Add the Chicken Mince and cook, breaking it up with a spoon, until browned and cooked through. Add the crushed Garlic and grated Ginger and cook for a further minute until fragrant. Stir in the Soy Sauce, Rice Vinegar, diced Red Pepper, and most of the Spring Onions, then cook for 3-4 minutes until the vegetables soften slightly. Remove from the heat. Spoon the warm chicken mixture into the separated Lettuce leaves, scatter with the remaining Spring Onions, and serve immediately while the lettuce is still crisp.",,10,12,Low Carb
Pork Loin with Vegetables,Dinner,"Tender, juicy pork loin roasted alongside a colourful mix of vegetables for a wholesome and satisfying dinner. The pork stays succulent as it cooks, while the vegetables soften and caramelise gently in the oven, soaking up all the savoury juices. A comforting, balanced main that needs little more than a squeeze of lemon to finish.","600g Pork Loin; 2 tbsp. Olive Oil; Salt; Black Pepper; 1 tsp. Dried Thyme; 2 Courgettes, sliced; 1 Red Pepper, chunked; 1 Red Onion, chunked; 200g Broccoli Florets; 2 Garlic Cloves, crushed",Green Beans; Asparagus; Rosemary,"Preheat the oven to 200°C fan. Rub the Pork Loin with 1 tablespoon of the Olive Oil, Salt, Black Pepper, and Dried Thyme. Place in a roasting tin and roast for 25-30 minutes, or until cooked through with an internal temperature of 70°C, then rest for 5 minutes before slicing. While the pork roasts, toss the Courgettes, Red Pepper, Red Onion, and Broccoli with the remaining Olive Oil, crushed Garlic, and a little Salt. Spread over a separate baking tray and roast for 20-25 minutes alongside the pork, turning halfway, until tender and lightly golden. Serve the sliced Pork Loin with the roasted vegetables.",,10,30,Low Carb
Beef Burger (No Bun) with Salad and Coleslaw,Dinner,"A juicy, well-seasoned beef patty served open with crisp salad and creamy coleslaw in place of a bun. The beef stays tender and full of flavour, while the fresh salad and tangy coleslaw add crunch and balance without any need for bread. A satisfying, hearty dinner that still feels like a proper burger.","400g Beef Mince; 1 Garlic Clove, crushed; ½ tsp. Smoked Paprika; Salt; Black Pepper; 1 tbsp. Olive Oil; Mixed Salad Leaves; 1 Tomato, sliced; ¼ Red Onion, sliced; 200g White Cabbage, shredded; 1 Carrot, grated; 3 tbsp. Mayonnaise; 1 tsp. Vinegar",Sliced Cheese; Gherkins; Fried Egg,"In a bowl, mix the Beef Mince with the crushed Garlic, Smoked Paprika, Salt, and Black Pepper. Shape into two patties. Heat the Olive Oil in a pan over a medium-high heat and cook the patties for 4-5 minutes on each side until cooked through and well browned. For the coleslaw, mix the shredded Cabbage and grated Carrot with the Mayonnaise and Vinegar, seasoning to taste. Arrange the Salad Leaves, sliced Tomato, and Red Onion on a plate, top with the cooked Beef Patty, and serve with a generous spoonful of the coleslaw on the side.",,10,10,Low Carb
Chicken Curry (Low Carb),Dinner,"A warming, aromatic curry made with tender chicken simmered in a rich tomato and coconut sauce, spiced with ginger, garlic, and curry spices. The sauce becomes thick and fragrant as it cooks, clinging to every piece of chicken, while cauliflower rice keeps the whole dish comforting without the carbs of traditional rice. A cosy, flavour-packed dinner that is easy to make in one pan.","2 Chicken Breasts, diced; 1 tbsp. Olive Oil; 1 Onion, chopped; 2 Garlic Cloves, crushed; 1 tsp. Grated Ginger; 2 tsp. Curry Powder; ½ tsp. Turmeric; 400g Chopped Tomatoes; 200ml Coconut Milk; Salt; Fresh Coriander; 1 Head Cauliflower, riced",Chilli; Spinach; Green Beans,"Heat the Olive Oil in a large pan over a medium heat and fry the chopped Onion for 5 minutes until softened. Add the crushed Garlic and grated Ginger and cook for a further minute. Stir in the Curry Powder and Turmeric and cook for 30 seconds until fragrant. Add the diced Chicken and cook for 2-3 minutes until lightly sealed on the outside. Pour in the Chopped Tomatoes and Coconut Milk, season with Salt, and bring to a simmer. Cook for 15-20 minutes, stirring occasionally, until the chicken is cooked through and the sauce has thickened. Meanwhile, steam or microwave the Cauliflower Rice for 4-5 minutes until tender. Serve the Curry over the Cauliflower Rice, finished with fresh Coriander.",,10,25,Low Carb
Meatballs with Tomato Sauce,Dinner,"Tender, well-seasoned meatballs gently simmered in a rich, herby tomato sauce until soft and full of flavour. The meatballs stay juicy as they cook through in the sauce, while the tomato base thickens and deepens in flavour the longer it simmers. A comforting, classic dinner that pairs well with a simple green vegetable or courgette noodles.","400g Beef or Pork Mince; 1 Egg; 30g Grated Parmesan; 1 Garlic Clove, crushed; Salt; Black Pepper; 1 tbsp. Olive Oil; 1 Onion, finely chopped; 400g Chopped Tomatoes; 1 tsp. Dried Oregano; Fresh Basil",Courgette Noodles; Mozzarella; Chilli Flakes,"In a bowl, combine the Mince, Egg, Parmesan, half the crushed Garlic, Salt, and Black Pepper. Mix well and shape into small meatballs. Heat the Olive Oil in a large pan over a medium heat and brown the meatballs on all sides, then remove and set aside. In the same pan, fry the chopped Onion for 5 minutes until softened, then add the remaining Garlic and cook for a further minute. Pour in the Chopped Tomatoes and Dried Oregano, season, and bring to a simmer. Return the meatballs to the pan, cover, and simmer gently for 15-20 minutes until the meatballs are cooked through and the sauce has thickened. Finish with torn fresh Basil before serving.",,15,25,Low Carb
Greek Yoghurt with Berries,Breakfast,"Thick, creamy Greek yoghurt topped with fresh, lightly sweet berries and a scattering of nuts for crunch. The tang of the yoghurt balances beautifully with the natural sweetness of the berries, making it a light, refreshing breakfast or snack that comes together in minutes. Simple, cooling, and steady on blood sugar, it is an easy everyday favourite.","200g Full Fat Greek Yoghurt; 80g Mixed Berries (Blueberries, Raspberries, Strawberries); 1 tbsp. Chopped Almonds or Walnuts; Pinch of Cinnamon (optional)",Chia Seeds; Flaked Coconut; Drizzle of Honey (small amount),"Spoon the Greek Yoghurt into a bowl or glass. Scatter over the Mixed Berries, either whole or roughly chopped depending on size. Top with the Chopped Nuts and a pinch of Cinnamon if using. Serve immediately while the berries are fresh.",,5,,Low Carb
"Almonds, Walnuts and Peanuts Snack",Snack,"A simple, crunchy mix of roasted nuts, perfect for keeping energy steady between meals. The combination of almonds, walnuts, and peanuts offers a satisfying contrast of textures and flavours, from buttery and rich to lightly toasted and nutty. Portable and easy to prepare in batches, it is a reliable low-carb snack for any time of day.",50g Almonds; 50g Walnuts; 50g Peanuts; Pinch of Salt (optional); ½ tsp. Olive Oil (if roasting),Cinnamon; Smoked Paprika; Chilli Flakes,"If serving raw, simply combine the Almonds, Walnuts, and Peanuts in a bowl or portion into small containers for snacking. To roast, preheat the oven to 160°C fan, toss the nuts lightly in Olive Oil and a pinch of Salt, and spread over a baking tray. Roast for 8-10 minutes, shaking the tray halfway through, until lightly golden and fragrant. Allow to cool completely before storing in an airtight container.",,5,10,Low Carb
Boiled Eggs,Breakfast,"Simple, protein-packed boiled eggs with a perfectly set white and a yolk anywhere from soft to firm, depending on preference. A steady, no-fuss breakfast or snack that needs nothing more than a pinch of salt, boiled eggs are one of the easiest ways to start the day without affecting blood sugar. Easy to prepare in batches and keep on hand for the week.",4 Large Eggs; Salt; Black Pepper,Soft Boiled; Hard Boiled; Sprinkle of Paprika,"Place the Eggs in a saucepan and cover with cold water. Bring to the boil over a high heat. Once boiling, reduce to a simmer. For soft-boiled eggs, cook for 6 minutes; for a jammy yolk, cook for 8 minutes; for fully hard-boiled eggs, cook for 10-11 minutes. Once cooked, transfer the Eggs immediately to a bowl of cold water to stop them cooking further and make peeling easier. Peel and season with Salt and Black Pepper before serving.",,2,11,Low Carb
